feedback_id,customer_id,product,review_text,review_date,language,channel
FB-00001,bdd640fb-0667-4ad1-9c80-317fa3b1799d,watches_gifts,Really happy with this purchase. Great quality for the price,2016-08-16,en,social
FB-00002,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,electronics,Product looks even better in person. Very happy with the purchase,2017-08-27,en,tv
FB-00003,37f8a88b-17fc-495a-87a0-ca6e0822e8f3,housewares,Satisfactory purchase. The product is functional as described,2017-09-08,en,email
FB-00004,a65ed389-b74d-4fb1-b2e7-06298fadc1a6,electronics,Five stars! The product is even better than I expected,2016-08-13,en,tv
FB-00005,de8a774b-cf36-458b-8737-819096da1dac,health_beauty,Product arrived quickly and is exactly as described. Love it,2017-12-15,en,tv
FB-00006,371ecd7b-27cd-4130-8722-9389571aa876,telephony,Seller communicated well and shipping was faster than expected,2016-04-04,en,tv
FB-00007,580d7b71-d8f5-4413-9be6-128e18c26797,office_furniture,Very satisfied and would definitely buy again from this seller,2018-04-06,en,email
FB-00008,1ff49b78-8946-4e85-b59c-de66bacfb3d0,books_general_interest,Absolutely love it. Perfect size and excellent materials,2017-07-19,en,paid_search
FB-00009,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,garden_tools,Satisfactory purchase. The product is functional as described,2016-07-15,en,email
FB-00010,c5e7ce8a-3a57-4a8e-a948-8d990bbb2599,toys,Absolutely love it. Perfect size and excellent materials,2018-05-25,en,social
FB-00011,47294739-614f-43d7-99db-3ad0ddd1dfb2,bed_bath_table,Not as described in the listing. Expected much better quality,2018-05-04,en,paid_search
FB-00012,35a240ae-5af3-4553-9ec4-2e0829a3b2e9,watches_gifts,Awful experience. Seller was unresponsive and product is defective,2016-03-14,en,display
FB-00013,baa80dd4-88bd-4407-abcf-be01a28defe3,housewares,Product arrived quickly and is exactly as described. Love it,2017-04-18,en,tv
FB-00014,a3d70628-ece6-4fa2-bd51-66e6451b4cf3,electronics,Seller communicated well and shipping was faster than expected,2017-12-02,en,paid_search
FB-00015,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,housewares,Amazing quality! Exceeded my expectations completely,2018-04-04,en,paid_search
FB-00016,3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,food_drink,Absolutely love it. Perfect size and excellent materials,2016-08-05,en,tv
FB-00017,a491f0b2-ea1f-4a65-a27a-984d654821d0,bed_bath_table,Very satisfied and would definitely buy again from this seller,2016-09-28,en,social
FB-00018,89fa6a68-8fb5-427b-beb7-99193f22faf8,watches_gifts,Neither impressed nor disappointed. Standard quality and average shipping,2017-03-14,en,display
FB-00019,ff50bde4-3825-47b8-9cab-cc97663f1c97,fashion_bags_accessories,Neither impressed nor disappointed. Standard quality and average shipping,2017-05-20,en,email
FB-00020,1c11f735-dc71-4d96-8c0f-d195c17af08a,fashion_bags_accessories,Terrible packaging and item arrived damaged. Very unhappy,2016-06-12,en,tv
FB-00021,61b1cd22-6280-4c45-9043-5a1098ae4334,office_furniture,Everything is perfect. Packaging was careful and item undamaged,2017-06-25,en,paid_search
FB-00022,f143262f-dc5c-4eed-8da0-365bf89897b9,health_beauty,Everything is perfect. Packaging was careful and item undamaged,2017-11-29,en,display
FB-00023,a4161293-c4c2-42e3-844e-a7c8c0398710,telephony,Everything is perfect. Packaging was careful and item undamaged,2016-10-27,en,tv
FB-00024,f42d47cc-00d4-4f59-b427-3ca3287d06ca,watches_gifts,Satisfactory purchase. The product is functional as described,2018-02-19,en,social
FB-00025,deda4e16-1b3d-4d5c-a9a1-fa6f81f76d1c,toys,Not as described in the listing. Expected much better quality,2017-06-03,en,display
FB-00026,c333e861-5fb8-416c-a720-797d32ebd689,sports_leisure,Product is okay. Took longer to arrive than expected but works fine,2018-03-08,en,display
FB-00027,52fbe43b-9954-4eb4-8025-7ad1eb2263dd,cool_stuff,Fast delivery and the item matches the description perfectly,2016-04-24,en,paid_search
