iso_week,week_start_date,weekly_revenue,tv_spend,paid_search_spend,social_spend,email_spend,display_spend,holiday_flag,black_friday_flag,competitor_index,avg_temperature
2016-W01,2016-01-04,49023.85,24733.17,18500.06,5144.18,1633.95,4410.58,0,0,1.0,23.5
2016-W02,2016-01-11,45042.94,42127.36,20988.59,12271.81,2280.25,6495.76,0,0,0.9662,23.5
2016-W03,2016-01-18,51748.7,63245.68,11669.99,10494.36,2490.19,10727.91,0,0,0.923,23.5
2016-W04,2016-01-25,53035.62,70706.54,11928.48,15482.85,3095.1,9932.02,0,0,0.9372,23.5
2016-W05,2016-02-01,46200.02,73964.36,12630.21,15443.29,3414.09,10930.11,0,0,0.9527,24.0
2016-W06,2016-02-08,49217.42,72114.57,12887.18,10466.62,3150.57,10370.01,1,0,1.0044,24.0
2016-W07,2016-02-15,55297.88,72111.58,16787.87,8230.09,1909.87,10550.14,0,0,1.0484,24.0
2016-W08,2016-02-22,54241.16,75891.55,15513.33,7705.3,2326.5,8488.85,0,0,1.0428,24.0
2016-W09,2016-02-29,56072.69,76902.32,10918.05,11929.52,4147.09,7419.33,0,0,0.9929,24.0
2016-W10,2016-03-07,62851.47,69263.86,14121.08,15183.66,3620.12,7531.72,0,0,0.9801,23.0
2016-W11,2016-03-14,71814.19,80010.54,16403.2,11981.89,3628.45,6568.75,0,0,0.9889,23.0
2016-W12,2016-03-21,72194.19,88930.6,11680.54,15588.03,3692.03,10544.95,1,0,0.9809,23.0
2016-W13,2016-03-28,69613.33,80056.4,19753.58,10693.07,3973.31,8390.21,0,0,0.9579,23.0
2016-W14,2016-04-04,75663.28,82120.2,11586.58,14684.94,1872.99,9305.51,0,0,0.9682,21.0
2016-W15,2016-04-11,73298.94,74655.66,20836.09,17296.34,2693.47,11008.78,0,0,0.9482,21.0
2016-W16,2016-04-18,67512.25,80703.76,12314.77,17095.4,3253.26,11556.02,1,0,0.9233,21.0
2016-W17,2016-04-25,74576.81,77117.31,19970.12,16423.13,2678.03,9674.92,1,0,0.9362,21.0
2016-W18,2016-05-02,68639.21,82170.57,21827.35,17273.09,4167.34,9243.77,0,0,0.9204,18.5
2016-W19,2016-05-09,79045.18,87059.29,23028.95,11230.45,3156.08,12203.53,0,0,0.9306,18.5
2016-W20,2016-05-16,75101.73,91314.45,21078.65,10106.44,3963.69,11318.82,0,0,0.9419,18.5
2016-W21,2016-05-23,75287.92,81074.94,20515.53,9041.96,4254.23,11849.42,0,0,0.8966,18.5
2016-W22,2016-05-30,73516.22,90072.69,18787.13,11653.03,3227.09,12562.62,0,0,0.8778,18.5
2016-W23,2016-06-06,84813.7,82655.16,20166.03,14622.72,4390.01,12122.46,0,0,0.936,17.0
2016-W24,2016-06-13,78215.56,73606.87,12639.53,14889.18,3480.87,8353.94,0,0,0.8898,17.0
2016-W25,2016-06-20,77626.04,77621.86,16328.75,16764.72,4224.87,9296.9,0,0,0.8057,17.0
2016-W26,2016-06-27,78995.14,76753.74,16619.99,11947.59,2733.02,6865.28,0,0,0.7322,17.0
2016-W27,2016-07-04,85023.59,85323.42,20783.86,14656.01,3133.1,9320.38,0,0,0.7347,16.5
2016-W28,2016-07-11,85081.02,90891.42,16671.17,11406.73,3250.89,11994.23,0,0,0.7372,16.5
2016-W29,2016-07-18,86386.06,84966.77,15121.75,10728.76,1977.48,10274.37,0,0,0.7339,16.5
2016-W30,2016-07-25,87536.53,93534.73,17943.02,13970.74,2794.53,9193.87,0,0,0.7838,16.5
2016-W31,2016-08-01,98892.45,86292.67,13889.01,17429.94,4391.74,6432.91,0,0,0.6779,17.5
2016-W32,2016-08-08,84561.83,85706.01,11760.57,15864.32,3612.08,11010.17,0,0,0.6954,17.5
2016-W33,2016-08-15,84930.13,80113.51,15498.61,10781.73,2213.12,7471.57,0,0,0.7594,17.5
2016-W34,2016-08-22,84073.69,89800.33,15327.46,13243.16,2627.22,5861.53,0,0,0.7154,17.5
2016-W35,2016-08-29,94118.95,81152.39,13089.96,9636.07,2206.17,6527.93,0,0,0.7017,17.5
2016-W36,2016-09-05,98534.35,72704.88,14373.64,14927.59,1684.78,5677.96,1,0,0.6731,19.0
2016-W37,2016-09-12,91682.93,74595.36,14552.75,15647.66,4366.62,7717.99,0,0,0.6389,19.0
2016-W38,2016-09-19,88034.9,87064.26,14112.86,11644.09,3062.95,8797.82,0,0,0.6277,19.0
2016-W39,2016-09-26,89201.55,93778.53,14670.5,9391.4,2575.75,7954.66,0,0,0.6866,19.0
2016-W40,2016-10-03,100171.08,110603.21,23298.17,11412.13,3424.22,6916.33,0,0,0.7617,21.0
2016-W41,2016-10-10,102009.31,126646.02,18526.0,21141.16,1693.15,7007.72,1,0,0.7494,21.0
2016-W42,2016-10-17,101866.22,137955.61,27981.08,19192.34,2418.72,9086.48,0,0,0.8269,21.0
2016-W43,2016-10-24,94692.88,134634.68,28892.19,22058.64,3730.04,7384.23,0,0,0.8292,21.0
